Strain,Region,year,Dkl,Lowerbound,Upperbound
HK68,C,1993,0.657,0.642,0.673
HK68,D,1993,0.394,0.388,0.401
HK68,E,1993,0.4,0.391,0.41
HK68,B*,1993,0.336,0.323,0.347
HK68,non-epitope,1993,0.019,0.018,0.019
HK68,OtherbutB*,1993,0.065,0.064,0.065
HK68,OtherEpibutB*,1993,0.486,0.481,0.492
HK68,A,1994,0.613,0.606,0.624
HK68,B,1994,0.429,0.423,0.434
HK68,C,1994,0.674,0.66,0.688
HK68,D,1994,0.414,0.41,0.419
HK68,E,1994,0.394,0.382,0.405
HK68,B*,1994,0.35,0.347,0.355
HK68,non-epitope,1994,0.021,0.021,0.021
HK68,OtherbutB*,1994,0.068,0.067,0.069
HK68,OtherEpibutB*,1994,0.502,0.498,0.507
HK68,A,1995,0.579,0.571,0.585
HK68,B,1995,0.393,0.389,0.399
HK68,C,1995,0.639,0.628,0.65
HK68,D,1995,0.453,0.445,0.464
HK68,E,1995,0.408,0.399,0.416
HK68,B*,1995,0.348,0.346,0.35
HK68,non-epitope,1995,0.02,0.019,0.02
HK68,OtherbutB*,1995,0.066,0.065,0.067
HK68,OtherEpibutB*,1995,0.491,0.488,0.496
HK68,A,1996,0.562,0.555,0.574
HK68,B,1996,0.397,0.393,0.402
HK68,C,1996,0.628,0.616,0.641
HK68,D,1996,0.452,0.444,0.465
HK68,E,1996,0.418,0.409,0.427
HK68,B*,1996,0.356,0.346,0.369
HK68,non-epitope,1996,0.02,0.02,0.021
HK68,OtherbutB*,1996,0.066,0.066,0.067
HK68,OtherEpibutB*,1996,0.488,0.485,0.494
HK68,A,1997,0.584,0.575,0.594
HK68,B,1997,0.425,0.418,0.434
HK68,C,1997,0.623,0.606,0.641
HK68,D,1997,0.468,0.466,0.472
HK68,E,1997,0.439,0.428,0.448
HK68,B*,1997,0.417,0.401,0.438
HK68,non-epitope,1997,0.021,0.02,0.021
HK68,OtherbutB*,1997,0.068,0.067,0.069
HK68,OtherEpibutB*,1997,0.502,0.497,0.507
HK68,A,1998,0.611,0.6,0.621
HK68,B,1998,0.458,0.45,0.466
HK68,C,1998,0.656,0.642,0.673
HK68,D,1998,0.46,0.455,0.468
HK68,E,1998,0.428,0.421,0.435
HK68,B*,1998,0.517,0.497,0.536
HK68,non-epitope,1998,0.021,0.02,0.021
HK68,OtherbutB*,1998,0.068,0.068,0.069
HK68,OtherEpibutB*,1998,0.507,0.504,0.511
HK68,A,1999,0.632,0.629,0.635
HK68,B,1999,0.494,0.491,0.499
HK68,C,1999,0.66,0.651,0.675
HK68,D,1999,0.486,0.48,0.49
HK68,E,1999,0.46,0.453,0.469
HK68,B*,1999,0.573,0.567,0.577
HK68,non-epitope,1999,0.021,0.021,0.021
HK68,OtherbutB*,1999,0.071,0.071,0.072
HK68,OtherEpibutB*,1999,0.53,0.528,0.534
HK68,A,2000,0.628,0.624,0.633
HK68,B,2000,0.518,0.516,0.52
HK68,C,2000,0.693,0.693,0.693
HK68,D,2000,0.52,0.52,0.521
HK68,E,2000,0.484,0.478,0.494
HK68,B*,2000,0.578,0.577,0.578
HK68,non-epitope,2000,0.023,0.023,0.024
HK68,OtherbutB*,2000,0.075,0.075,0.076
HK68,OtherEpibutB*,2000,0.554,0.552,0.556
HK68,A,2001,0.635,0.635,0.635
HK68,B,2001,0.534,0.532,0.538
HK68,C,2001,0.693,0.693,0.693
HK68,D,2001,0.503,0.495,0.509
HK68,E,2001,0.473,0.466,0.48
HK68,B*,2001,0.578,0.577,0.578
HK68,non-epitope,2001,0.024,0.023,0.024
HK68,OtherbutB*,2001,0.076,0.075,0.076
HK68,OtherEpibutB*,2001,0.553,0.551,0.555
HK68,A,2002,0.616,0.613,0.621
HK68,B,2002,0.551,0.548,0.554
HK68,C,2002,0.672,0.664,0.681
HK68,D,2002,0.521,0.52,0.522
HK68,E,2002,0.472,0.466,0.479
HK68,B*,2002,0.578,0.577,0.579
HK68,non-epitope,2002,0.025,0.024,0.025
HK68,OtherbutB*,2002,0.077,0.076,0.077
HK68,OtherEpibutB*,2002,0.555,0.553,0.557
HK68,A,2003,0.574,0.572,0.577
HK68,B,2003,0.521,0.52,0.523
HK68,C,2003,0.684,0.68,0.687
HK68,D,2003,0.521,0.52,0.522
HK68,E,2003,0.51,0.504,0.517
HK68,B*,2003,0.578,0.575,0.581
HK68,non-epitope,2003,0.028,0.028,0.029
HK68,OtherbutB*,2003,0.079,0.079,0.08
HK68,OtherEpibutB*,2003,0.547,0.546,0.549
HK68,A,2004,0.567,0.563,0.573
HK68,B,2004,0.508,0.505,0.511
HK68,C,2004,0.681,0.677,0.687
HK68,D,2004,0.52,0.518,0.522
HK68,E,2004,0.518,0.513,0.526
HK68,B*,2004,0.576,0.573,0.579
HK68,non-epitope,2004,0.031,0.03,0.031
HK68,OtherbutB*,2004,0.081,0.081,0.081
HK68,OtherEpibutB*,2004,0.543,0.542,0.546
HK68,A,2005,0.549,0.545,0.556
HK68,B,2005,0.522,0.519,0.525
HK68,C,2005,0.675,0.668,0.682
HK68,D,2005,0.519,0.516,0.521
HK68,E,2005,0.521,0.515,0.527
HK68,B*,2005,0.603,0.598,0.607
HK68,non-epitope,2005,0.031,0.031,0.032
HK68,OtherbutB*,2005,0.081,0.081,0.082
HK68,OtherEpibutB*,2005,0.54,0.539,0.543
HK68,A,2006,0.549,0.544,0.556
HK68,B,2006,0.535,0.529,0.542
HK68,C,2006,0.676,0.67,0.685
HK68,D,2006,0.519,0.516,0.521
HK68,E,2006,0.524,0.518,0.531
HK68,B*,2006,0.666,0.656,0.674
HK68,non-epitope,2006,0.031,0.03,0.031
HK68,OtherbutB*,2006,0.081,0.08,0.081
HK68,OtherEpibutB*,2006,0.538,0.535,0.542
HK68,A,2007,0.544,0.54,0.549
HK68,B,2007,0.542,0.539,0.545
HK68,C,2007,0.674,0.67,0.679
HK68,D,2007,0.513,0.511,0.516
HK68,E,2007,0.521,0.515,0.528
HK68,B*,2007,0.685,0.68,0.69
HK68,non-epitope,2007,0.031,0.03,0.031
HK68,OtherbutB*,2007,0.08,0.08,0.081
