ID,InputCount,Rep1Count,Rep2Count,Rep1Fitness,Rep2Fitness,Fitness,Rep1_Preference,Rep2_Preference,Preference,strain,selected,v,f
EKFDFV,552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bris07P194,0.0,1.9001077168823421,-6.315358001522335
EKFDNA,647.0,1.0,1.0,0.00121754996286,0.00129127840878,0.00125441418582,0.00145624667095,0.00151955246915,0.00148815656409,Bris07P194,2.0,1.2331759418282042,-5.375278407684165
EKFDNV,683.0,1.0,0.0,0.00115337456218,0.0,0.000576687281089,0.00137948989181,0.0,0.000684144816344,Bris07P194,1.0,1.3997613869224215,-5.834810737062606
EKFDSA,619.0,1.0,25.0,0.00127262492079,0.0337422104393,0.0175074176801,0.00152211889516,0.0397072070895,0.0207696778587,Bris07P194,26.0,0.9369493388811713,-3.133882612034808
EKFDSV,488.0,0.0,1.0,0.0,0.00171200231655,0.000856001158277,0.0,0.00201465255643,0.00101550489221,Bris07P194,1.0,1.4003443883933788,-5.499215308914927
EKFEFA,719.0,1.0,0.0,0.00109562562721,0.0,0.000547812813607,0.00131041946606,0.0,0.000649889999392,Bris07P194,1.0,1.3996882875072165,-5.886104031450156
EKFEFV,684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bris07P194,0.0,1.899759252632926,-6.529418838262226
EKFENA,665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bris07P194,0.0,1.8998009001198293,-6.501289670540389
EKFENV,689.0,0.0,1.0,0.0,0.00121256477573,0.000606282387865,0.0,0.00142692372647,0.000719254553552,Bris07P194,1.0,1.3997486739806466,-5.84354441703136
EKFESA,700.0,1.0,0.0,0.0011253640371,0.0,0.000562682018548,0.00134598799444,0.0,0.000667529870804,Bris07P194,1.0,1.3997259321418656,-5.859360706474645
EKFESV,584.0,3.0,0.0,0.00404668574983,0.0,0.00202334287492,0.00484002532245,0.0,0.00240036426146,Bris07P194,3.0,1.1500088003277296,-4.985317486111966
EKSDFA,397.0,11.0,3.0,0.0218269599135,0.00631327806407,0.0140701189888,0.0261060643757,0.00742934847006,0.0166918870716,Bris07P194,14.0,0.9674786280990648,-3.2784018041822276
EKSDFV,405.0,51.0,1.0,0.0991987558626,0.00206285711229,0.0506308064874,0.118646349139,0.00242753196923,0.0600651426546,Bris07P194,52.0,0.9196303773338218,-2.0360612460496106
EKSDNA,447.0,3.0,1.0,0.00528694514072,0.00186903161181,0.00357798837626,0.0063234335309,0.00219944171709,0.00424469600914,Bris07P194,4.0,1.1005315414754706,-4.4953553199808844
EKSDNV,430.0,2.0,2.0,0.00366397593473,0.0038858471185,0.00377491152662,0.0043822864935,0.00457279277924,0.00447831300912,Bris07P194,4.0,1.100619584233177,-4.456670177669648
EKSDSA,369.0,0.0,2.0,0.0,0.00452822292942,0.00226411146471,0.0,0.00532872871294,0.00268599667966,Bris07P194,2.0,1.2343354346543638,-4.814890716970161
EKSDSV,355.0,0.0,2.0,0.0,0.00470680073509,0.00235340036754,0.0,0.00553887576078,0.00279192330928,Bris07P194,2.0,1.2344417207157061,-4.77631844218392
EKSEFA,415.0,1.0,0.0,0.00189820439992,0.0,0.000949102199961,0.00227034119543,0.0,0.00112595399895,Bris07P194,1.0,1.400703244772174,-5.337538079701318
EKSEFV,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bris07P194,0.0,1.9005516508705802,-6.095824562432225
EKSENA,438.0,2.0,1.0,0.00359705399985,0.00190743637095,0.0027522451854,0.00430224473107,0.00224463572497,0.0032650872295,Bris07P194,3.0,1.150577302946346,-4.698205051955281
EKSENV,485.0,3.0,2.0,0.00487271026372,0.00344518404321,0.00415894715346,0.00582798925426,0.00405422864964,0.0049339082546,Bris07P194,5.0,1.0670236784537186,-4.394449154672439
EKSESA,451.0,1.0,0.0,0.00174668475824,0.0,0.000873342379121,0.00208911662107,0.0,0.0010360774048,Bris07P194,1.0,1.4005117879988587,-5.420534999272286
EKSESV,353.0,5.0,2.0,0.0111580003678,0.00473346816135,0.00794573426458,0.0133454900298,0.00557025749313,0.00942630969578,Bris07P194,7.0,1.02612425737539,-3.7898553714539385
EKYDFA,541.0,3.0,8.0,0.00436832620684,0.0123542644063,0.00836129530659,0.00522472234438,0.0145382690948,0.00991930467259,Bris07P194,11.0,0.9834777504018456,-3.810359351651646
EKYDFV,507.0,0.0,1.0,0.0,0.00164784443881,0.000823922219406,0.0,0.00193915275648,0.000977448495852,Bris07P194,1.0,1.4002679025553357,-5.537334267018537
EKYDNA,518.0,1.0,2.0,0.00152076221229,0.00322570320648,0.00237323270939,0.00181890269518,0.00379594767389,0.00281545112811,Bris07P194,3.0,1.1502261808919307,-4.865609522045998
EKYDNV,483.0,2.0,2.0,0.00326192474521,0.00345944981564,0.00336068728043,0.00390141447662,0.00407101634591,0.00398690392117,Bris07P194,4.0,1.100365514320807,-4.572646994282532
EKYDSA,497.0,0.0,1.0,0.0,0.00168100026253,0.000840500131266,0.0,0.00197816991456,0.000997115467601,Bris07P194,1.0,1.400307430746842,-5.517452896464707
EKYDSV,439.0,0.0,2.0,0.0,0.00380618282678,0.00190309141339,0.0,0.00447904531908,0.00225770563735,Bris07P194,2.0,1.2339054592243883,-4.988162438244197
EKYEFA,610.0,1.0,0.0,0.00129140135405,0.0,0.000645700677023,0.00154457638706,0.0,0.00076601788453,Bris07P194,1.0,1.399936059829457,-5.72194977861165
EKYEFV,514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bris07P194,0.0,1.9002411461911435,-6.244166900663736
EKYENA,498.0,1.0,0.0,0.00158183699993,0.0,0.000790918499967,0.00189195099619,0.0,0.000938294999122,Bris07P194,1.0,1.4003034066343598,-5.519458915191573
EKYENV,571.0,1.0,0.0,0.00137960564968,0.0,0.00068980282484,0.00165007284782,0.0,0.000818337845119,Bris07P194,1.0,1.4000476503665795,-5.655991810819852
EKYESA,548.0,0.0,5.0,0.0,0.00762278403721,0.0038113920186,0.0,0.0089703507987,0.00452159112588,Bris07P194,5.0,1.0667875589097666,-4.516338972281476
EKYESV,492.0,0.0,1.0,0.0,0.00169808359853,0.000849041799266,0.0,0.00199827326735,0.00100724875487,Bris07P194,1.0,1.4003277961842506,-5.5073619934827445
ENFDFA,673.0,8.0,9.0,0.00936409897138,0.0111725322055,0.0102683155884,0.0111999001023,0.0131476285703,0.0121816712675,Bris07P194,17.0,0.9553386336991059,-3.6228583530161425
ENFDFV,664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bris07P194,0.0,1.899803158016824,-6.499787040655854
ENFDNA,708.0,1.0,2.0,0.00111264805928,0.00236004839118,0.00173634822523,0.00133077909055,0.00277726115124,0.00205989220955,Bris07P194,3.0,1.1497098358538707,-5.177561165412237
ENFDNV,704.0,0.0,2.0,0.0,0.00237345775704,0.00118672887852,0.0,0.00279304104414,0.00140785905511,Bris07P194,2.0,1.233051171667973,-5.459585514144159
ENFDSA,704.0,2.0,16.0,0.0022379398465,0.0189876620563,0.0106128009514,0.00267668067075,0.0223443283531,0.0125903466157,Bris07P194,18.0,0.9523494172820082,-3.6137588236458282
ENFDSV,601.0,2.0,5.0,0.00262148028608,0.00695055848983,0.00478601938796,0.0031354129654,0.00817928824906,0.00567782654928,Bris07P194,7.0,1.024960528186434,-4.3208159036289855
ENFEFA,807.0,0.0,3.0,0.0,0.00310578858914,0.00155289429457,0.0,0.00365483437747,0.00184225422824,Bris07P194,3.0,1.149537022380704,-5.308267697401205
ENFEFV,665.0,2.0,0.0,0.00236918744652,0.0,0.00118459372326,0.00283365893565,0.0,0.0014053260438,Bris07P194,2.0,1.2331342334531625,-5.402677381872279
ENFENA,804.0,2.0,0.0,0.00195958911932,0.0,0.000979794559661,0.00234376018931,0.0,0.00116236544667,Bris07P194,2.0,1.2328749679765059,-5.592229988750454
ENFENV,796.0,0.0,3.0,0.0,0.00314870777818,0.00157435388909,0.0,0.00370534088268,0.00186771251531,Bris07P194,3.0,1.149554103762619,-5.294560317670324
