Background	Year	MeanPref	StdPref
HK68	2000	-1.12315252222	0.0183501100461
HK68	2001	-1.12163955939	0.0275359235273
HK68	2002	-1.14873895812	0.000395921908075
HK68	2003	-1.08003732924	0.00473387858173
HK68	2004	-0.866984772054	0.00639788290099
HK68	2005	-1.2235290589	0.0233397145015
HK68	2006	-1.66121078667	0.018259769396
HK68	2007	-1.71772375827	0.00365555050557
HK68	2008	-1.48841690639	0.0303482958965
HK68	2009	-1.12103819979	0.0126834331522
HK68	2010	-0.854165874799	0.00252579033915
HK68	2011	-0.852166937203	0.00173631060528
HK68	2012	-0.847232291876	0.00278804831887
HK68	2013	-0.850568629538	0.00187392035818
HK68	2014	-0.492543813481	0.00500420893258
HK68	2015	-0.277438544626	0.00312676224347
HK68	2016	-0.219994103055	0.00210712315425
HK68	2017	-0.161687737036	0.00195996192057
HK68	2018	-0.172113453286	0.00230446581388
Mos99	1968	0.0874849011432	1.3947701539e-18
Mos99	1969	0.0874849011432	5.66558314796e-18
Mos99	1970	0.0874849011432	0.0
Mos99	1971	0.142083476989	0.0206363219466
Mos99	1972	0.0874849011432	0.0
Mos99	1973	0.0812647885429	0.00311005630013
Mos99	1974	0.0688245633424	0.0
Mos99	1975	0.0688245633424	0.0
Mos99	1976	0.41973125822	0.0
Mos99	1977	0.378200463585	0.0415307946346
Mos99	1978	0.247504850706	0.172226407514
Mos99	1979	-0.613627186862	0.0
Mos99	1980	-0.484457381227	0.129169805635
Mos99	1981	-0.613627186862	0.0
Mos99	1982	-0.269174371835	0.217851088389
Mos99	1983	-0.441400779348	0.172226407514
Mos99	1984	-0.613627186862	0.0
Mos99	1985	-0.0701834252605	0.144051035532
Mos99	1986	-0.336481659904	0.0876411108516
Mos99	1987	0.353178424858	0.270167399912
Mos99	1988	0.197197203793	0.133021232276
Mos99	1989	0.131520900187	0.0971365629986
Mos99	1990	-0.0483508449111	0.143585231033
Mos99	1991	-0.15137497975	0.20457992449
Mos99	1992	0.616777941512	0.221755003678
Mos99	1993	1.05229612298	7.18310565718e-17
Mos99	1994	1.04228252778	0.0153883550268
Mos99	1995	1.01218211309	0.0430474654938
Mos99	1996	0.938423817734	0.0341729867963
Mos99	1997	0.50395444612	0.0648691363711
Mos99	1998	0.10681166424	0.0306917243031
Mos99	1999	0.038121304848	0.00902069201182
Mos99	2000	0.0461507120234	0.0120228900944
Mos99	2001	0.0471419968598	0.0180413840236
Mos99	2002	0.0247097409926	0.00222549813769
Mos99	2003	-0.246585449488	0.00586350238495
Mos99	2004	-0.465993647527	0.00697299558885
Mos99	2005	-0.906578239735	0.0226383581632
Mos99	2006	-1.32971627042	0.0186352964521
Mos99	2007	-1.39322938722	0.00356160197248
Mos99	2008	-1.24381465684	0.0194502746654
Mos99	2009	-0.447918591193	0.0199117867437
Mos99	2010	-0.0174669316391	0.00338985223161
Mos99	2011	-0.0156898654372	0.00204075353432
Mos99	2012	-0.0119980793392	0.0023209919437
